arrival_date_month,arrival_date_month,proportion
April,9746,9.471883686123583
August,12672,12.315586914688904
December,5620,5.461931696697572
February,6445,6.263727719789297
January,4546,4.418139055727253
July,11599,11.272766147685969
June,9803,9.527280502264466
March,8132,7.9032791027659535
May,10087,9.803292709001497
November,5396,5.244231928003576
October,9437,9.171574630201954
September,9411,9.146305907049975
