reserved_room_type,reserved_room_type,proportion
A,73265,71.20434622038215
B,992,0.9640989756448384
C,765,0.7434835850486909
D,17535,17.041810018076855
E,5457,5.3035162400139955
F,2537,2.4656442552529785
G,1809,1.7581200069974927
H,534,0.5189806985830078
