market_segment,market_segment,proportion
Aviation,25,0.024296849184597742
Complementary,103,0.10010301864054269
Corporate,692,0.6725367854296654
Direct,6582,6.396874453320893
Groups,15661,15.22051820319941
Offline TA/TO,23774,23.10533170058507
Online TA,56057,54.48033898963982
