assigned_room_type,assigned_room_type,proportion
A,64502,62.68781464419694
B,1879,1.826151184714366
C,1868,1.8154605710731433
D,21938,21.32097109646821
E,6306,6.128637238322934
F,3134,3.045853013781173
G,2169,2.1079946352557
H,601,0.5840962543977297
I,274,0.26629346706319124
K,223,0.21672789472661183
